
央卫V4-爱尚,#genre#
CCTV1,http://223.105.252.60/PLTV/4/224/3221228049/index.m3u8?servicetype=1
CCTV2,http://223.105.252.60/PLTV/4/224/3221228118/index.m3u8?servicetype=1
CCTV2,http://223.105.252.60/PLTV/4/224/3221228720/index.m3u8?servicetype=1
CCTV3,http://223.105.252.60/PLTV/4/224/3221228188/index.m3u8?servicetype=1
CCTV3,http://223.105.252.60/PLTV/4/224/3221228237/index.m3u8?servicetype=1
CCTV4,http://223.105.252.60/PLTV/4/224/3221228156/index.m3u8?servicetype=1
CCTV5,http://223.105.252.60/PLTV/4/224/3221228173/index.m3u8?servicetype=1
CCTV5+,http://223.105.252.60/PLTV/4/224/3221228114/index.m3u8?servicetype=1
CCTV5+,http://223.105.252.60/PLTV/4/224/3221228076/index.m3u8?servicetype=1
CCTV6,http://223.105.252.60/PLTV/4/224/3221228185/index.m3u8?servicetype=1
CCTV6,http://223.105.252.60/PLTV/4/224/3221228196/index.m3u8?servicetype=1
CCTV8,http://223.105.252.60/PLTV/4/224/3221228079/index.m3u8?servicetype=1
CCTV9,http://223.105.252.60/PLTV/4/224/3221228723/index.m3u8?servicetype=1
CCTV16,http://223.105.252.60/PLTV/4/224/3221228314/index.m3u8?servicetype=1
CCTV16,http://223.105.252.60/PLTV/4/224/3221228320/index.m3u8?servicetype=1
CCTV16,http://223.105.252.60/PLTV/4/224/3221228516/index.m3u8?servicetype=1

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV1,http://116.179.130.148:6000/rtp/226.0.2.153:9136$山西联通
CCTV2,http://116.179.130.148:6000/rtp/226.0.2.154:9144$山西联通
CCTV3,http://116.179.130.148:6000/rtp/226.0.2.208:9576$山西联通
CCTV4,http://116.179.130.148:6000/rtp/226.0.2.156:9160$山西联通
CCTV5,http://116.179.130.148:6000/rtp/226.0.2.209:9584$山西联通
CCTV5+,http://116.179.130.148:6000/rtp/226.0.2.168:9256$山西联通
CCTV6,http://116.179.130.148:6000/rtp/226.0.2.210:9592$山西联通
CCTV7,http://116.179.130.148:6000/rtp/226.0.2.159:9184$山西联通
CCTV8,http://116.179.130.148:6000/rtp/226.0.2.211:9600$山西联通
CCTV9,http://116.179.130.148:6000/rtp/226.0.2.161:9200$山西联通
CCTV10,http://116.179.130.148:6000/rtp/226.0.2.162:9208$山西联通
CCTV11,http://116.179.130.148:6000/rtp/226.0.2.28:8136$山西联通
CCTV12,http://116.179.130.148:6000/rtp/226.0.2.164:9224$山西联通
CCTV13,http://116.179.130.148:6000/rtp/226.0.2.165:9232$山西联通
